user_id,name,email,phone_number,address,signup_date
d3e496b9-358e-4060-8c7e-e342385efc99,Ruth Pena,xbrown@example.org,596-235-7305,"48541 Susan View, Katherineview, MS 15199",1978-03-26
7cba2d77-678f-428b-a7b0-8ab75ca560bb,Mr. Calvin Hoffman Jr.,brownchristopher@example.net,001-934-489-0071x4312,"54062 Tonya Track Apt. 477, Austintown, NH 73696","June 21, 1970"
0667f574-6cb0-4018-82cc-5daef7de3182,Brett Cunningham,ashley82@example.com,(949)856-2455x4304,"77234 Durham Canyon, Port Benjamin, FM 19163",10/24/1975
aeb1621c-6693-4ade-ab03-3695e3a6ff2f,Ruth Finley,fharrington@example.com,563.244.7464,"55889 Antonio Circles, New Zachary, CO 60217","June 05, 1998"
aaf0c92d-8166-4eff-9a0b-49fcb3dc0cf3,Kristin Weber,jmiller@example.net,904.941.1638x84499,"373 Campbell Cliffs Apt. 273, Tracyborough, IA 43174",01/31/1998
1b6cedc5-d773-4f5f-843d-b47b07db69a3,Clarence Alexander,graydonna@example.com,001-803-306-9906x280,"188 Adam Groves, Port Andrew, AL 34772","October 20, 2016"
e8b5061c-fa38-4422-8868-61e028ac5ca7,Jessica Hurley,erin61@example.com,001-380-622-2507x2935,"723 Snow Drives, North Kathleenberg, PW 87282",2023-11-26
730671ef-b254-443f-b48d-00ccfc6c9369,Tina Gonzalez,adam31@example.com,(839)388-1667,"60713 Deborah Fort Suite 789, Sandovaltown, MT 66386",1985-01-27
613aeb3f-94a1-46d9-a8ba-9342dc57635f,Michele Wallace,gonzalezcesar@example.org,909.857.4980x30314,"15495 Reid Oval, New Christopher, IL 95027","August 22, 2011"
6ae391f1-c31f-41c7-88bd-d1cde9c22f13,David Schroeder,danielhunt@example.net,+1-801-582-2219,"70199 Black Cove Apt. 661, Joshuaview, VA 22803",11/08/1988
5e339887-79cd-4082-837f-21a4a2e2380c,Gary Hernandez,jennifer87@example.org,001-725-632-6113x80830,"7074 Robert Crescent, North Stephaniestad, MA 62048",01/06/1977
52e8d4d2-c133-460c-a872-74e3e0d37533,Emily Perkins,matthewperez@example.net,(600)405-4218x0722,"425 Wise Springs, West Tara, PA 33969",1985-04-01
